county,lat,lon,population,water,grid,burden,subrgn,tier
02020,61.189579248611906,-149.78584393055303,289069.0,5.0,63.0,31.0,AKGD,Elevated
02050,60.62189361779633,-161.97426151983552,18487.0,5.0,11.1,3.2,AKMS,Low
02060,58.7305457,-156.994473,878.0,5.0,11.1,3.9,AKMS,Low
02063,60.61261422412406,-146.4885642821454,6964.0,5.0,,5.7,,Low
02066,62.034479,-143.9221674,2626.0,5.0,11.1,0.7,AKMS,Low
02068,63.6820386,-150.0270164,2029.0,5.0,63.0,0.2,AKGD,Elevated
02070,59.32732111606694,-158.45264043224992,4780.0,5.0,11.1,3.2,AKMS,Low
02090,64.80644054386477,-147.56000330665626,95555.0,50.0,63.0,19.4,AKGD,Elevated
02100,59.0984037,-135.5757906,2077.0,5.0,11.1,2.0,AKMS,Low
02105,58.0735321,-135.513003,2313.0,5.0,11.1,1.2,AKMS,Low
02110,58.40278694971378,-134.46939742780623,31969.0,5.0,11.1,3.0,AKMS,Low
02122,60.23494937467539,-151.05958426059084,59843.0,5.0,63.0,2.9,AKGD,Elevated
02130,55.36769442322999,-131.63317274532253,13870.0,5.0,11.1,12.1,AKMS,Low
02150,57.72300858308741,-152.66101088101266,12878.0,5.0,11.1,9.2,AKMS,Low
02158,62.2835878,-163.1901714,8277.0,5.0,11.1,2.5,AKMS,Low
02164,58.1085067,-156.4134134,1007.0,5.0,11.1,1.7,AKMS,Low
02170,61.608514840497136,-149.3964937170501,110677.0,5.0,63.0,5.9,AKGD,Elevated
02180,64.70710533229219,-164.6988602381756,9925.0,5.0,11.1,1.7,AKMS,Low
02185,70.46931978107607,-154.03179331443775,10891.0,85.0,11.1,1.7,AKMS,High
02188,66.92395909650506,-160.92057147496809,7611.0,5.0,11.1,6.9,AKMS,Low
02195,57.1124581,-133.00859790000004,3394.0,5.0,11.1,7.9,AKMS,Low
02198,55.44866246666674,-132.6609960120604,5730.0,5.0,11.1,3.9,AKMS,Low
02220,57.10079687058263,-135.3667115236626,8393.0,5.0,11.1,5.9,AKMS,Low
02230,59.5603794,-135.3382787,1308.0,5.0,11.1,0.6,AKMS,Low
02240,63.831802954829854,-144.52707899724066,6936.0,5.0,11.1,1.8,AKMS,Low
02275,56.1807793,-132.0267878,2106.0,5.0,11.1,0.3,AKMS,Low
02282,60.0175079,-140.4168465,506.0,5.0,11.1,1.8,AKMS,Low
02290,65.57419376420019,-151.94675327098125,5271.0,5.0,11.1,2.4,AKMS,Low
04001,35.55731488967569,-109.41095706001705,65680.0,85.0,51.6,23.3,NWPP,High
04003,31.61678530283601,-110.06010487441425,125458.0,95.0,21.8,28.4,AZNM,High
04005,35.47915374747416,-111.6037996926705,144643.0,85.0,21.8,30.8,AZNM,High
04007,33.85458228739412,-110.98657826084278,53610.0,25.0,21.8,30.6,AZNM,Low
04009,32.87830738388059,-109.75174829402613,38860.0,95.0,21.8,29.5,AZNM,High
04011,33.038645610452825,-109.2575797697196,9452.0,25.0,21.8,25.0,AZNM,Low
04012,33.88050879050277,-114.17936701084734,16605.0,50.0,21.8,27.9,AZNM,Moderate
04013,33.490108252069845,-112.04607398979981,4491987.0,95.0,21.8,58.7,AZNM,High
04015,35.035090936440994,-114.23406353926491,217420.0,5.0,21.8,32.3,AZNM,Low
04017,34.87382729770658,-110.20427985811139,107744.0,85.0,21.8,23.7,AZNM,High
04019,32.21652755398796,-110.96115334098113,1049947.0,95.0,21.8,51.2,AZNM,High
04021,33.07037079543297,-111.60662092889697,449219.0,95.0,21.8,44.8,AZNM,High
04023,31.431916780346008,-110.93067739396668,48209.0,95.0,21.8,39.8,AZNM,High
04025,34.62618591818783,-112.28840722845229,241656.0,95.0,21.8,25.4,AZNM,High
04027,32.64252731200232,-114.60277335653714,207685.0,95.0,21.8,71.7,AZNM,High
05001,34.39973090546115,-91.44870397769557,16773.0,95.0,58.2,33.7,SRMV,High
05003,33.17719908454759,-91.8921463928528,18722.0,25.0,58.2,42.1,SRMV,Moderate
05005,36.3325108837509,-92.37651006303382,42150.0,75.0,58.2,43.0,SRMV,High
05007,36.33510664094474,-94.23002886852996,294541.0,5.0,55.3,29.3,SPSO,Moderate
05009,36.27149127991873,-93.09649927773468,37896.0,75.0,55.3,18.5,SPSO,High
05011,33.57135258614062,-92.09727100989856,10354.0,5.0,58.2,21.1,SRMV,Moderate
05013,33.567865249205,-92.4888593975386,4717.0,25.0,58.2,32.4,SRMV,Moderate
05015,36.36072956418355,-93.5632161405016,28526.0,75.0,55.3,19.8,SPSO,High
05017,33.263285146924076,-91.3290376558046,9997.0,5.0,58.2,34.7,SRMV,Moderate
05019,34.08687465278323,-93.12717116666066,21378.0,25.0,58.2,27.4,SRMV,Moderate
05021,36.366395898201255,-90.37217754641819,14399.0,95.0,58.2,29.0,SRMV,High
05023,35.51166330110188,-92.02332870378562,25048.0,25.0,58.2,21.3,SRMV,Moderate
05025,33.911660867921505,-92.19587222001343,7491.0,5.0,58.2,11.4,SRMV,Moderate
05027,33.258682533453175,-93.23414740442901,22527.0,75.0,58.2,43.8,SRMV,High
05029,35.22406966506803,-92.72351273624668,20872.0,5.0,58.2,47.3,SRMV,Elevated
05031,35.831363114553454,-90.66929946671706,112097.0,95.0,55.3,47.8,SPSO,High
05033,35.49709050416337,-94.28070232176321,60792.0,5.0,58.2,39.3,SRMV,Moderate
05035,35.16360112150645,-90.2187105493302,47609.0,95.0,89.3,73.3,SRMW,High
05037,35.250881448198555,-90.77212460194058,16681.0,95.0,58.2,38.2,SRMV,High
05039,33.8788496544009,-92.52842364051604,6351.0,25.0,58.2,23.0,SRMV,Moderate
05041,33.77308553820307,-91.38490101488065,11041.0,50.0,58.2,36.7,SRMV,Elevated
05043,33.60298569927084,-91.77421508170328,17143.0,25.0,58.2,23.6,SRMV,Moderate
05045,35.1027662204911,-92.4113672090849,126001.0,5.0,58.2,42.2,SRMV,Moderate
05047,35.447150495900125,-93.89271100506697,17220.0,5.0,58.2,20.5,SRMV,Moderate
05049,36.379634777522675,-91.7811122797962,12239.0,95.0,58.2,14.1,SRMV,High
05051,34.50852738323538,-93.09264359724185,100062.0,25.0,58.2,34.0,SRMV,Moderate
05053,34.32106881078902,-92.41576125743943,18111.0,5.0,58.2,22.1,SRMV,Moderate
05055,36.07306070669742,-90.5216301942918,46182.0,95.0,58.2,45.6,SRMV,High
05057,33.6957703656487,-93.61231484514754,19778.0,5.0,58.2,39.6,SRMV,Moderate
05059,34.34430074096313,-92.8816992215751,33142.0,25.0,58.2,31.3,SRMV,Moderate
05061,33.99423973950869,-93.93288839159874,12701.0,5.0,58.2,49.2,SRMV,Elevated
05063,35.754824884645856,-91.58929064225586,38120.0,5.0,58.2,34.2,SRMV,Moderate
05065,36.122032522291924,-91.91843776238142,13866.0,5.0,58.2,16.5,SRMV,Moderate
05067,35.62691938470342,-91.2365276640392,16775.0,25.0,58.2,43.1,SRMV,Moderate
05069,34.2275666087519,-92.05355943277745,65780.0,5.0,58.2,44.4,SRMV,Moderate
05071,35.493743693860864,-93.47462772396341,25932.0,5.0,58.2,38.0,SRMV,Moderate
05073,33.304435695379176,-93.57145999636496,6211.0,75.0,58.2,26.4,SRMV,High
05075,36.06490809312018,-91.06549121025614,16265.0,95.0,58.2,35.7,SRMV,High
05077,34.78613425135707,-90.78451728915415,8511.0,95.0,58.2,36.7,SRMV,High
05079,33.98060785488199,-91.72789534612545,12966.0,25.0,58.2,17.6,SRMV,Moderate
05081,33.68378969488251,-94.18876067675713,11959.0,5.0,58.2,42.0,SRMV,Moderate
05083,35.20999986065441,-93.73991279247613,21240.0,5.0,58.2,17.2,SRMV,Moderate
05085,34.90446042872756,-91.96300347040109,74747.0,50.0,58.2,29.2,SRMV,Elevated
05087,36.045754456769615,-93.75644576917061,17032.0,75.0,55.3,16.5,SPSO,High
05089,36.29857425187397,-92.66656416227652,17076.0,75.0,58.2,29.5,SRMV,High
05091,33.39451491861089,-93.97205061131157,42588.0,25.0,58.2,63.1,SRMV,Elevated
05093,35.83987859388916,-89.99833975991353,39749.0,95.0,58.2,53.5,SRMV,High
05095,34.767681142224205,-91.24698072166477,6681.0,5.0,58.2,30.9,SRMV,Moderate
05097,34.53884456450824,-93.61960443891797,8571.0,25.0,58.2,11.8,SRMV,Moderate
05099,33.727450789256174,-93.33792959267242,8228.0,25.0,58.2,28.6,SRMV,Moderate
05101,35.96369358641115,-93.20666281785181,7175.0,75.0,55.3,4.8,SPSO,High
05103,33.57717262715867,-92.85591004587094,22317.0,25.0,58.2,40.1,SRMV,Moderate
05105,34.974459515268535,-92.81121701016346,10073.0,5.0,58.2,31.6,SRMV,Moderate
05107,34.53763769556253,-90.72193361393832,15910.0,5.0,58.2,60.4,SRMV,Elevated
05109,34.14854588880378,-93.62601673509823,10182.0,25.0,58.2,13.5,SRMV,Moderate
05111,35.60038609916446,-90.5676143589516,22740.0,95.0,58.2,38.7,SRMV,High
05113,34.516014051519534,-94.2525803882089,19348.0,5.0,58.2,41.5,SRMV,Moderate
05115,35.31637717665831,-93.09291952913237,63830.0,5.0,58.2,55.9,SRMV,Elevated
05117,34.830936312031355,-91.56045245264342,8162.0,50.0,58.2,19.2,SRMV,Elevated
05119,34.77469054466612,-92.31390299098116,398949.0,5.0,58.2,55.5,SRMV,Elevated
05121,36.31114564796883,-90.99943663480394,18733.0,95.0,58.2,33.9,SRMV,High
05123,35.013339145382595,-90.78008388769481,22740.0,95.0,58.2,50.7,SRMV,High
05125,34.59846143148643,-92.54769996066072,125724.0,5.0,58.2,32.5,SRMV,Moderate
05127,34.88665407000711,-94.08520385317509,9839.0,5.0,58.2,27.3,SRMV,Moderate
05129,35.92087393046686,-92.65263911967482,7861.0,75.0,58.2,11.9,SRMV,High
05131,35.320029253439515,-94.35142476046917,128448.0,5.0,58.2,52.6,SRMV,Elevated
05133,34.012514469278976,-94.29416443372844,15797.0,5.0,58.2,50.2,SRMV,Elevated
05135,36.18519231788942,-91.5018540084285,17597.0,95.0,58.2,13.2,SRMV,High
05137,35.86639858676446,-92.14277782524775,12474.0,5.0,58.2,10.3,SRMV,Moderate
05139,33.20072761305514,-92.65407288117002,38368.0,25.0,58.2,55.5,SRMV,Elevated
05141,35.58042321165914,-92.45624824309058,15936.0,25.0,58.2,17.6,SRMV,Moderate
05143,36.09209542108924,-94.1733317159285,251863.0,5.0,55.3,45.4,SPSO,Elevated
